g3452.t1	sp|Q9Y6A2|CP46A_HUMAN	36.842	380	201	6	73	1119	16	387	6.41e-73	238
g3453.t1	sp|Q9Y6A2|CP46A_HUMAN	39.574	470	267	7	79	1470	20	478	2.83e-111	342
g3454.t1	sp|Q9H4F8|SMOC1_HUMAN	41.026	156	80	3	43	504	21	166	3.35e-31	129
g3454.t1	sp|Q9H4F8|SMOC1_HUMAN	36.715	207	110	4	1009	1575	224	427	8.16e-28	119
g3454.t1	sp|Q9H4F8|SMOC1_HUMAN	33.019	212	117	6	256	840	222	425	7.00e-24	107
g3455.t1	sp|Q9D844|DNJC4_MOUSE	35.028	177	100	3	100	618	37	202	1.38e-22	95.9
g3457.t1	sp|Q9NRC6|SPTN5_HUMAN	31.110	1649	1112	11	1	4926	1850	3481	0.0	758
g3457.t1	sp|Q9NRC6|SPTN5_HUMAN	23.574	1701	1182	29	52	4935	458	2113	2.33e-99	363
g3457.t1	sp|Q9NRC6|SPTN5_HUMAN	20.766	1618	1202	27	16	4776	913	2481	2.66e-36	156
g3457.t1	sp|Q9NRC6|SPTN5_HUMAN	19.298	1311	1019	16	1045	4932	1141	2427	2.52e-30	136
g3457.t1	sp|Q9NRC6|SPTN5_HUMAN	20.599	835	589	8	2593	4923	450	1268	1.33e-27	127
g3458.t1	sp|P16546|SPTN1_MOUSE	36.947	655	411	2	67	2028	300	953	1.11e-123	414
g3458.t1	sp|P16546|SPTN1_MOUSE	32.938	759	495	5	67	2325	1278	2028	6.15e-120	404
g3458.t1	sp|P16546|SPTN1_MOUSE	27.138	538	391	1	796	2409	15	551	4.01e-56	214
g3458.t1	sp|P16546|SPTN1_MOUSE	24.342	760	569	5	163	2433	120	876	1.16e-49	194
g3458.t1	sp|P16546|SPTN1_MOUSE	23.219	758	538	10	133	2283	1052	1806	1.30e-44	178
g3458.t1	sp|P16546|SPTN1_MOUSE	21.169	770	601	6	76	2376	197	963	7.44e-41	167
g3458.t1	sp|P16546|SPTN1_MOUSE	23.758	745	525	17	67	2208	1490	2222	6.22e-38	157
g3458.t1	sp|P16546|SPTN1_MOUSE	25.116	860	553	22	67	2472	512	1338	9.09e-37	154
g3458.t1	sp|P16546|SPTN1_MOUSE	21.594	778	605	4	163	2490	15	789	2.90e-36	152
g3458.t1	sp|P16546|SPTN1_MOUSE	20.464	733	573	6	181	2361	1210	1938	3.26e-35	149
g3458.t1	sp|P16546|SPTN1_MOUSE	21.689	687	493	7	535	2472	1081	1763	8.59e-30	131
g3458.t1	sp|P16546|SPTN1_MOUSE	23.117	385	285	4	64	1197	1702	2082	3.81e-21	103
g3459.t1	sp|Q00963|SPTCB_DROME	45.908	782	414	4	40	2361	36	816	0.0	691
g3459.t1	sp|Q00963|SPTCB_DROME	22.110	493	360	7	823	2283	525	999	9.80e-28	125
g3459.t1	sp|Q00963|SPTCB_DROME	26.225	347	251	3	1309	2340	1315	1659	1.54e-25	119
g3460.t1	sp|Q9WVK8|CP46A_MOUSE	38.248	468	266	9	103	1470	22	478	2.17e-106	329
g3461.t1	sp|Q9Y6A2|CP46A_HUMAN	37.681	414	218	9	79	1254	22	417	2.45e-86	275
g3462.t1	sp|Q8NFJ9|BBS1_HUMAN	52.075	530	212	5	61	1530	14	541	0.0	548
g3465.t1	sp|Q9TXQ1|TNKS1_CAEEL	32.081	692	406	24	1072	3021	102	771	2.12e-63	245
